category,category_minor,authors,title,year,volume,issue,pages,url_abstract,url_extract,url_fulltext,url_fullpdf,url_abstract_is_duplicate,download_abstract,download_fullpdf,abstract_local_path,local_fullpdf_path,category_fullpdf,category_abstract_1_major,category_abstract_1_minor,category_abstract_2_major,category_abstract_2_minor,category_merged,keywords,warning
Letters (Online Only),nan,"Charles L. Raison, David A. Raichlen",An evolutionary perspective on nutrition and social decision making,2018,115,7,E1331,http://www.pnas.org/content/115/7/E1331.abstract,nan,http://www.pnas.org/content/115/7/E1331.full,http://www.pnas.org/content/115/7/E1331.full.pdf,nan,yes,nan,2018/E1331.abstract.txt,,,,,,,,,"FILE : OK: .abstract.txt ,META : no category details ,"
Letters (Online Only),nan,"Soyoung Q. Park, Sebastian M. Schmid",Reply to Raison and Raichlen: Why does nutrition impact social decision making?,2018,115,7,E1332-E1333,http://www.pnas.org/content/115/7/E1332.abstract,nan,http://www.pnas.org/content/115/7/E1332.full,http://www.pnas.org/content/115/7/E1332.full.pdf,nan,yes,nan,2018/E1332.abstract.txt,,,,,,,,,"FILE : OK: .abstract.txt ,META : no category details ,"
Letters (Online Only),nan,Jens Lund,Weighing the evidence for a body mass-regulating gravitostat,2018,115,7,E1334,http://www.pnas.org/content/115/7/E1334.abstract,nan,http://www.pnas.org/content/115/7/E1334.full,http://www.pnas.org/content/115/7/E1334.full.pdf,nan,yes,nan,2018/E1334.abstract.txt,,,,,,,,,"FILE : OK: .abstract.txt ,META : no category details ,"
Letters (Online Only),nan,"Claes Ohlsson, John-Olov Jansson",Reply to Lund: Where does the gravitostat fit in?,2018,115,7,E1335,http://www.pnas.org/content/115/7/E1335.abstract,nan,http://www.pnas.org/content/115/7/E1335.full,http://www.pnas.org/content/115/7/E1335.full.pdf,nan,yes,nan,2018/E1335.abstract.txt,,,,,,,,,"FILE : OK: .abstract.txt ,META : no category details ,"
Profile,nan,Sandeep Ravindran,Profile of Steve Granick,2018,115,7,1400-1402,http://www.pnas.org/content/115/7/1400.abstract,nan,http://www.pnas.org/content/115/7/1400.full,http://www.pnas.org/content/115/7/1400.full.pdf,nan,yes,nan,2018/1400.abstract.txt,,,,,,,,,"FILE : OK: .abstract.txt ,META : no category details ,"
Commentaries,nan,Caroline Laplante,Resolving single-actin filaments within the contractile ring of fission yeast,2018,115,7,1403-1405,http://www.pnas.org/content/115/7/1403.abstract,nan,http://www.pnas.org/content/115/7/1403.full,http://www.pnas.org/content/115/7/1403.full.pdf,nan,yes,nan,2018/1403.abstract.txt,,,,,,,,,"FILE : OK: .abstract.txt ,META : no category details ,"
Commentaries,nan,Curtis C. Harris,"Tobacco smoking, E-cigarettes, and nicotine harm",2018,115,7,1406-1407,http://www.pnas.org/content/115/7/1406.abstract,nan,http://www.pnas.org/content/115/7/1406.full,http://www.pnas.org/content/115/7/1406.full.pdf,nan,yes,nan,2018/1406.abstract.txt,,,,,,,,,"FILE : OK: .abstract.txt ,META : no category details ,"
Commentaries,nan,"Jane Rebecca Conway, Geoffrey Bird",Conceptualizing degrees of theory of mind,2018,115,7,1408-1410,http://www.pnas.org/content/115/7/1408.abstract,nan,http://www.pnas.org/content/115/7/1408.full,http://www.pnas.org/content/115/7/1408.full.pdf,nan,yes,nan,2018/1408.abstract.txt,,,,,,,,,"FILE : OK: .abstract.txt ,META : no category details ,"
Commentaries,nan,"Kevin D. Lafferty, Skylar R. Hopkins",Unique parasite aDNA in moa coprolites from New Zealand suggests mass parasite extinctions followed human-induced megafauna extinctions,2018,115,7,1411-1413,http://www.pnas.org/content/115/7/1411.abstract,nan,http://www.pnas.org/content/115/7/1411.full,http://www.pnas.org/content/115/7/1411.full.pdf,nan,yes,nan,2018/1411.abstract.txt,,,,,,,,,"FILE : OK: .abstract.txt ,META : no category details ,"
Commentaries,nan,Tobias L. Lenz,Adaptive value of novel MHC immune gene variants,2018,115,7,1414-1416,http://www.pnas.org/content/115/7/1414.abstract,nan,http://www.pnas.org/content/115/7/1414.full,http://www.pnas.org/content/115/7/1414.full.pdf,nan,yes,nan,2018/1414.abstract.txt,,,,,,,,,"FILE : OK: .abstract.txt ,META : no category details ,"
Perspective,nan,"Michael C. Dietze, Andrew Fox, Lindsay M. Beck-Johnson, Julio L. Betancourt, Mevin B. Hooten, Catherine S. Jarnevich, Timothy H. Keitt, Melissa A. Kenney, Christine M. Laney, Laurel G. Larsen, Henry W. Loescher, Claire K. Lunch, Bryan C. Pijanowski, James T. Randerson, Emily K. Read, Andrew T. Tredennick, Rodrigo Vargas, Kathleen C. Weathers, Ethan P. White","Iterative near-term ecological forecasting: Needs, opportunities, and challenges",2018,115,7,1424-1432,http://www.pnas.org/content/115/7/1424.abstract,nan,http://www.pnas.org/content/115/7/1424.full,http://www.pnas.org/content/115/7/1424.full.pdf,nan,yes,nan,2018/1424.abstract.txt,,,,,,,,"forecast
","FILE : OK: .abstract.txt ,META : no category details ,"
Physical Sciences,Applied Mathematics,"Jonathan David Touboul, Ann Carla Staver, Simon Asher Levin",On the complex dynamics of savanna landscapes,2018,115,7,E1336-E1345,http://www.pnas.org/content/115/7/E1336.abstract,nan,http://www.pnas.org/content/115/7/E1336.full,http://www.pnas.org/content/115/7/E1336.full.pdf,nan,yes,nan,2018/E1336.abstract.txt,,,,,,,Applied Mathematics,"ecologicaldynamics
","FILE : OK: .abstract.txt ,"
Physical Sciences,Applied Physical Sciences,"Tim Gernat, Vikyath D. Rao, Martin Middendorf, Harry Dankowicz, Nigel Goldenfeld, Gene E. Robinson, Greg van Anders, Paul M. Dodd, Sharon C. Glotzer, Benjamin H. Savitzky, Alemayehu S. Admasu, Jaewook Kim, Sang-Wook Cheong, Robert Hovden, Lena F. Kourkoutis",Automated monitoring of behavior reveals bursty interaction patterns and rapid spreading dynamics in honeybee social networks,2018,115,7,1433-1438,http://www.pnas.org/content/115/7/1433.abstract,nan,http://www.pnas.org/content/115/7/1433.full,http://www.pnas.org/content/115/7/1433.full.pdf,nan,yes,nan,2018/1433.abstract.txt,,,,,,,Applied Physical Sciences,"trophallaxis
","FILE : OK: .abstract.txt ,"
Physical Sciences,Applied Physical Sciences,"Rose K. Cersonsky, Greg van Anders, Paul M. Dodd, Sharon C. Glotzer",Relevance of packing to colloidal self-assembly,2018,115,7,1439-1444,http://www.pnas.org/content/115/7/1439.abstract,nan,http://www.pnas.org/content/115/7/1439.full,http://www.pnas.org/content/115/7/1439.full.pdf,nan,yes,nan,2018/1439.abstract.txt,,,,,,,Applied Physical Sciences,"packing
","FILE : OK: .abstract.txt ,"
Physical Sciences,Applied Physical Sciences,"Ismail El Baggari, Benjamin H. Savitzky, Alemayehu S. Admasu, Jaewook Kim, Sang-Wook Cheong, Robert Hovden, Lena F. Kourkoutis",Nature and evolution of incommensurate charge order in manganites visualized with cryogenic scanning transmission electron microscopy,2018,115,7,1445-1450,http://www.pnas.org/content/115/7/1445.abstract,nan,http://www.pnas.org/content/115/7/1445.full,http://www.pnas.org/content/115/7/1445.full.pdf,nan,yes,nan,2018/1445.abstract.txt,,,,,,,Applied Physical Sciences,"chargeorder
","FILE : OK: .abstract.txt ,"
