category,category_minor,authors,title,year,volume,issue,pages,url_abstract,url_extract,url_fulltext,url_fullpdf,url_abstract_is_duplicate,download_abstract,download_fullpdf
This Week in PNAS,nan,nan,In This Issue,2016,113,52,14871-14872,http://www.pnas.org/content/113/52/14871.abstract,nan,http://www.pnas.org/content/113/52/14871.full,http://www.pnas.org/content/113/52/14871.full.pdf,,yes,
Reviewer Acknowledgment (Online Only),nan,nan,"Acknowledgment of Reviewers, 2016",2016,113,52,E8503-E8539,http://www.pnas.org/content/113/52/E8503.abstract,nan,http://www.pnas.org/content/113/52/E8503.full,http://www.pnas.org/content/113/52/E8503.full.pdf,,yes,
Science and Culture,nan,Stephen Ornes,Science and Culture: Solving a math problem to create art,2016,113,52,14873-14874,http://www.pnas.org/content/113/52/14873.abstract,nan,http://www.pnas.org/content/113/52/14873.full,http://www.pnas.org/content/113/52/14873.full.pdf,,yes,
Profile,nan,Paul Gabrielsen,Profile of Stephen Beverley,2016,113,52,14875-14877,http://www.pnas.org/content/113/52/14875.abstract,nan,http://www.pnas.org/content/113/52/14875.full,http://www.pnas.org/content/113/52/14875.full.pdf,,yes,
Commentaries,nan,"Jun Xiong, Zhuqiang Zhang, Bing Zhu",Polycomb “polypacks” the chromatin,2016,113,52,14878-14880,http://www.pnas.org/content/113/52/14878.abstract,nan,http://www.pnas.org/content/113/52/14878.full,http://www.pnas.org/content/113/52/14878.full.pdf,,yes,
Commentaries,nan,Kelly T. Hughes,Mg,2016,113,52,14881-14883,http://www.pnas.org/content/113/52/14881.abstract,nan,http://www.pnas.org/content/113/52/14881.full,http://www.pnas.org/content/113/52/14881.full.pdf,,yes,
PNAS Plus Significance Statements,nan,nan,PNAS Plus Significance Statements,2016,113,52,14884-14886,http://www.pnas.org/content/113/52/14884.abstract,nan,http://www.pnas.org/content/113/52/14884.full,http://www.pnas.org/content/113/52/14884.full.pdf,,yes,
Physical Sciences,Biophysics and Computational Biology,"Eleonora Gianti, Lucie Delemotte, Michael L. Klein, Vincenzo Carnevale",On the role of water density fluctuations in the inhibition of a proton channel,2016,113,52,E8359-E8368,http://www.pnas.org/content/113/52/E8359.abstract,nan,http://www.pnas.org/content/113/52/E8359.full,http://www.pnas.org/content/113/52/E8359.full.pdf,,yes,
Physical Sciences,Chemistry,"Joshua A. Linscott, Kanishk Kapilashrami, Zhen Wang, Chamara Senevirathne, Ian R. Bothwell, Gil Blum, Minkui Luo, Bren E. Cole, Michael A. Boreen, Connor A. Lippincott, Brian C. Manor, Patrick J. Carroll, Eric J. Schelter, Jeffrey N. Johnston, Meiling Wu, H. Peter Lu",Kinetic isotope effects reveal early transition state of protein lysine methyltransferase SET8,2016,113,52,E8369-E8378,http://www.pnas.org/content/113/52/E8369.abstract,nan,http://www.pnas.org/content/113/52/E8369.full,http://www.pnas.org/content/113/52/E8369.full.pdf,,yes,
Physical Sciences,Chemistry,"Justin A. Bogart, Bren E. Cole, Michael A. Boreen, Connor A. Lippincott, Brian C. Manor, Patrick J. Carroll, Eric J. Schelter","Accomplishing simple, solubility-based separations of rare earth elements with complexes bearing size-sensitive molecular apertures",2016,113,52,14887-14892,http://www.pnas.org/content/113/52/14887.abstract,nan,http://www.pnas.org/content/113/52/14887.full,http://www.pnas.org/content/113/52/14887.full.pdf,,yes,
